r0(um)	R0(um)	Xu	H0(Gs)	b(um)	CatchingRadius(um)
0,08	0,5	0,001	3500	0,1	1,305	
0,08	0,5	0,001	7000	0,1	1,305	
0,09	0,5	0,001	3500	0,1	1,305	
0,09	0,5	0,001	7000	0,1	1,305	
0,01	0,6000000000000001	0,001	3500	0,1	1,566	
0,01	0,6000000000000001	0,001	7000	0,1	1,566	
0,02	0,6000000000000001	0,001	3500	0,1	1,566	
0,02	0,6000000000000001	0,001	7000	0,1	1,566	
0,03	0,6000000000000001	0,001	3500	0,1	1,566	
0,03	0,6000000000000001	0,001	7000	0,1	1,566	
0,04	0,6000000000000001	0,001	3500	0,1	1,566	
0,04	0,6000000000000001	0,001	7000	0,1	1,566	
0,05	0,6000000000000001	0,001	3500	0,1	1,566	
0,05	0,6000000000000001	0,001	7000	0,1	1,566	
0,06	0,6000000000000001	0,001	3500	0,1	1,566	
0,06	0,6000000000000001	0,001	7000	0,1	1,566	
0,07	0,6000000000000001	0,001	3500	0,1	1,566	
0,07	0,6000000000000001	0,001	7000	0,1	1,566	
0,08	0,6000000000000001	0,001	3500	0,1	1,566	
0,08	0,6000000000000001	0,001	7000	0,1	1,566	
0,09	0,6000000000000001	0,001	3500	0,1	1,566	
0,09	0,6000000000000001	0,001	7000	0,1	1,566	
0,01	0,7000000000000001	0,001	3500	0,1	1,5750000000000002	
0,01	0,7000000000000001	0,001	7000	0,1	1,5750000000000002	
0,02	0,7000000000000001	0,001	3500	0,1	1,5750000000000002	
0,02	0,7000000000000001	0,001	7000	0,1	1,5750000000000002	
0,03	0,7000000000000001	0,001	3500	0,1	1,5750000000000002	
0,03	0,7000000000000001	0,001	7000	0,1	1,5750000000000002	
0,04	0,7000000000000001	0,001	3500	0,1	1,5750000000000002	
0,04	0,7000000000000001	0,001	7000	0,1	1,5750000000000002	
0,05	0,7000000000000001	0,001	3500	0,1	1,5750000000000002	
0,05	0,7000000000000001	0,001	7000	0,1	1,5750000000000002	
0,06	0,7000000000000001	0,001	3500	0,1	1,5750000000000002	
0,06	0,7000000000000001	0,001	7000	0,1	1,5750000000000002	
0,07	0,7000000000000001	0,001	3500	0,1	1,5750000000000002	
0,07	0,7000000000000001	0,001	7000	0,1	1,5750000000000002	
0,08	0,7000000000000001	0,001	3500	0,1	1,5750000000000002	
0,08	0,7000000000000001	0,001	7000	0,1	1,5750000000000002	
0,09	0,7000000000000001	0,001	3500	0,1	1,5750000000000002	
0,09	0,7000000000000001	0,001	7000	0,1	1,5750000000000002	
0,01	0,8	0,001	3500	0,1	1,8	
0,01	0,8	0,001	7000	0,1	1,8	
0,02	0,8	0,001	3500	0,1	1,8	
0,02	0,8	0,001	7000	0,1	1,8	
0,03	0,8	0,001	3500	0,1	1,8	
0,03	0,8	0,001	7000	0,1	1,8	
0,04	0,8	0,001	3500	0,1	1,8	
0,04	0,8	0,001	7000	0,1	1,8	
0,05	0,8	0,001	3500	0,1	1,8	
0,05	0,8	0,001	7000	0,1	1,8	
0,06	0,8	0,001	3500	0,1	1,8	
0,06	0,8	0,001	7000	0,1	1,8	
0,07	0,8	0,001	3500	0,1	1,8	
0,07	0,8	0,001	7000	0,1	1,8	
0,08	0,8	0,001	3500	0,1	1,8	
0,08	0,8	0,001	7000	0,1	1,8	
0,09	0,8	0,001	3500	0,1	1,8	
0,09	0,8	0,001	7000	0,1	1,8	
0,01	0,9	0,001	3500	0,1	2,025	
0,01	0,9	0,001	7000	0,1	2,025	
0,02	0,9	0,001	3500	0,1	2,025	
0,02	0,9	0,001	7000	0,1	2,025	
0,03	0,9	0,001	3500	0,1	2,025	
0,03	0,9	0,001	7000	0,1	2,025	
0,04	0,9	0,001	3500	0,1	2,025	
0,04	0,9	0,001	7000	0,1	2,025	
0,05	0,9	0,001	3500	0,1	2,025	
0,05	0,9	0,001	7000	0,1	2,025	
0,06	0,9	0,001	3500	0,1	2,025	
0,06	0,9	0,001	7000	0,1	2,025	
0,07	0,9	0,001	3500	0,1	2,025	
0,07	0,9	0,001	7000	0,1	2,025	
0,08	0,9	0,001	3500	0,1	2,025	
0,08	0,9	0,001	7000	0,1	2,025	
0,09	0,9	0,001	3500	0,1	2,025	
0,09	0,9	0,001	7000	0,1	2,025	
0,01	0,1	0,0001	3500	0,1	0,225	
0,01	0,1	0,0001	7000	0,1	0,225	
0,02	0,1	0,0001	3500	0,1	0,225	
0,02	0,1	0,0001	7000	0,1	0,225	
0,03	0,1	0,0001	3500	0,1	0,225	
0,03	0,1	0,0001	7000	0,1	0,225	
0,04	0,1	0,0001	3500	0,1	0,225	
0,04	0,1	0,0001	7000	0,1	0,225	
0,05	0,1	0,0001	3500	0,1	0,225	
0,05	0,1	0,0001	7000	0,1	0,225	
0,06	0,1	0,0001	3500	0,1	0,225	
0,06	0,1	0,0001	7000	0,1	0,225	
0,07	0,1	0,0001	3500	0,1	0,225	
0,07	0,1	0,0001	7000	0,1	0,225	
0,08	0,1	0,0001	3500	0,1	0,225	
